CharName,word
Sir John Mortimer,10
Justice,10
Deiphobus,10
Second Warder,10
Sir Walter Herbert,10
Third Pirate,9
Sir  William Glansdale,9
Second Knight,9
First Secretary,8
Servants,8
Myrmidons,8
Third Roman,8
Peter of Pomfret,8
Mariners,8
Third Knight,8
First Pirate,8
Gentlemen,8
Haberdasher,8
Second Neighbour,8
Mustardseed,8
Several Citizens,7
Both Citizens,7
Brothers,7
Legate,7
Third Musician,7
All Citizens,7
Escanes,6
First Messenger,6
Outlaws,6
First Roman,6
Simon Shadow,6
Second Patrician,5
Second Groom,5
Marshal,5
Second Attendant,5
Cobweb,5
Some Speak,5
Peaseblossom,5
James Gurney,4
All Ladies,4
Players,4
Thomas Wart,4
Philemon,4
Second Gaoler,4
Third Stranger,4
Second Pirate,4
Carrier,4
First Groom,4
First Commoner,4
Soldiers,4
Some Others,3
Third Guard,3
Second Roman,3
Ostler,3
Attendants,3
Philip,3
Taurus,2
Joseph,2
Nicholas,2
Thieves,1
